author,year,N,n_exp,n_ctrl,analysis_n,design_family,region,country,income_status,outcome_name,outcome_type,cognitive_outcome,mental_health_outcome,brain_outcome,behavioral_outcome,predictor_category,d_computed,d_se,transformed_effect_type,original_effect_size,effect_size_type_orig,es_pool,conversion_method,effect_size_SE,QC_flag,analysis_family
Olafsdottir,2018,50.0,17.0,33.0,24,RCT,Europe,Iceland,high income,heart rate,continuous,no,no,physiological,no,,0.585842,0.32294,Cohen's d,0.585842,Cohen's d (re-extracted),d_direct,d_direct,0.32294,,d_direct
Olafsdottir,2018,50.0,17.0,33.0,25,RCT,Europe,Iceland,high income,heart rate,continuous,no,no,physiological,no,,0.472751,0.320615,Cohen's d,0.472751,Cohen's d (re-extracted),d_direct,d_direct,0.320615,,d_direct
Olafsdottir,2018,50.0,17.0,33.0,26,RCT,Europe,Iceland,high income,heart rate,continuous,no,no,physiological,no,,0.278741,0.31776,Cohen's d,0.278741,Cohen's d (re-extracted),d_direct,d_direct,0.31776,,d_direct
Olafsdottir,2018,50.0,17.0,33.0,28,RCT,Europe,Iceland,high income,hfnu,continuous,no,no,physiological,no,,0.493270218056382,0.302588358657449,Cohen's d,0.493270218056382,"Cohen's d (interaction, from F via partial eta2)",d_converted,d_derived_from_partial_eta2),0.302588358657449,,d_converted
Olafsdottir,2018,50.0,17.0,33.0,31,RCT,Europe,Iceland,high income,hfnu,continuous,no,no,physiological,no,,0.659716,0.324716,Cohen's d,0.659716,Cohen's d (re-extracted),d_direct,d_direct,0.324716,,d_direct
Olafsdottir,2018,50.0,17.0,33.0,32,RCT,Europe,Iceland,high income,hfnu,continuous,no,no,physiological,no,,0.708934,0.32601,Cohen's d,0.708934,Cohen's d (re-extracted),d_direct,d_direct,0.32601,,d_direct
Olafsdottir,2018,50.0,17.0,33.0,33,RCT,Europe,Iceland,high income,hfnu,continuous,no,no,physiological,no,,0.852939,0.330294,Cohen's d,0.852939,Cohen's d (re-extracted),d_direct,d_direct,0.330294,,d_direct
Olafsdottir,2018,50.0,17.0,33.0,34,RCT,Europe,Iceland,high income,hfnu,continuous,no,no,physiological,no,,1.04063,0.336952,Cohen's d,1.04063,Cohen's d (re-extracted),d_direct,d_direct,0.336952,,d_direct
Olafsdottir,2018,67.0,20.0,47.0,36,RCT,Europe,Iceland,high income,negative affect,continuous,no,yes,no,no,,1.03088992746713,0.281438175819327,Cohen's d,1.03088992746713,"Cohen's d (between, from F via partial eta2)",d_converted,d_derived_from_partial_eta2),0.281438175819327,,d_converted
Olafsdottir,2018,67.0,20.0,47.0,37,RCT,Europe,Iceland,high income,negative affect,continuous,no,yes,no,no,,1.61912111699198,0.301397454421757,Cohen's d,1.61912111699198,"Cohen's d (between, from F via partial eta2)",d_converted,d_derived_from_partial_eta2),0.301397454421757,,d_converted
Olafsdottir,2018,67.0,20.0,47.0,38,RCT,Europe,Iceland,high income,negative affect,continuous,no,yes,no,no,,0.877375195707374,0.277527073626601,Cohen's d,0.877375195707374,"Cohen's d (interaction, from F via partial eta2)",d_converted,d_derived_from_partial_eta2),0.277527073626601,,d_converted
Olafsdottir,2018,67.0,20.0,47.0,40,RCT,Europe,Iceland,high income,negative affect,continuous,no,yes,no,no,,0.424835,0.134799,Cohen's d,0.424835,Cohen's d (re-extracted),d_direct,d_direct,0.134799,,d_direct
Olafsdottir,2018,67.0,20.0,47.0,41,RCT,Europe,Iceland,high income,negative affect,continuous,no,yes,no,no,,0.424835,0.134799,Cohen's d,0.424835,Cohen's d (re-extracted),d_direct,d_direct,0.134799,,d_direct
Olafsdottir,2018,67.0,20.0,47.0,42,RCT,Europe,Iceland,high income,negative affect,continuous,no,yes,no,no,,0.117179,0.129542,Cohen's d,0.117179,Cohen's d (re-extracted),d_direct,d_direct,0.129542,,d_direct
Olafsdottir,2018,67.0,20.0,47.0,43,RCT,Europe,Iceland,high income,negative affect,continuous,no,yes,no,no,,0.424835,0.134799,Cohen's d,0.424835,Cohen's d (re-extracted),d_direct,d_direct,0.134799,,d_direct
Olafsdottir,2018,67.0,20.0,47.0,46,RCT,Europe,Iceland,high income,positive affect,continuous,no,yes,no,no,,0.628955567892501,0.272449487803254,Cohen's d,0.628955567892501,"Cohen's d (between, from F via partial eta2)",d_converted,d_derived_from_partial_eta2),0.272449487803254,,d_converted
Olafsdottir,2018,67.0,20.0,47.0,47,RCT,Europe,Iceland,high income,positive affect,continuous,no,yes,no,no,,0.743231872985327,0.274588667228298,Cohen's d,0.743231872985327,"Cohen's d (interaction, from F via partial eta2)",d_converted,d_derived_from_partial_eta2),0.274588667228298,,d_converted
Olafsdottir,2018,67.0,20.0,47.0,49,RCT,Europe,Iceland,high income,positive affect,continuous,no,yes,no,no,,0.847634,0.330123,Cohen's d,0.847634,Cohen's d (re-extracted),d_direct,d_direct,0.330123,,d_direct
Olafsdottir,2018,67.0,20.0,47.0,50,RCT,Europe,Iceland,high income,positive affect,continuous,no,yes,no,no,,1.021585,0.336222,Cohen's d,1.021585,Cohen's d (re-extracted),d_direct,d_direct,0.336222,,d_direct
Olafsdottir,2018,67.0,20.0,47.0,51,RCT,Europe,Iceland,high income,positive affect,continuous,no,yes,no,no,,1.313578,0.348667,Cohen's d,1.313578,Cohen's d (re-extracted),d_direct,d_direct,0.348667,,d_direct
Olafsdottir,2018,67.0,20.0,47.0,52,RCT,Europe,Iceland,high income,positive affect,continuous,no,yes,no,no,,0.619931,0.323734,Cohen's d,0.619931,Cohen's d (re-extracted),d_direct,d_direct,0.323734,,d_direct
Amicone,2018,82.0,,,1,quasi-experimental,Europe,Italy,high income,sustained and selective attention,continuous,yes,no,no,no,,1.02177511725619,0.136239217300877,Cohen's d,1.02177511725619,Cohen's d_z (single-df F via partial eta2),d_converted,d_derived_from_partial_eta2),0.136239217300877,,d_converted
Amicone,2018,82.0,,,2,quasi-experimental,Europe,Italy,high income,sustained and selective attention,continuous,yes,no,no,no,,0.0398166529690598,0.11047528599728,Cohen's d,0.0398166529690598,Cohen's d_z (single-df F via partial eta2),d_converted,d_derived_from_partial_eta2),0.11047528599728,,d_converted
Amicone,2018,82.0,,,3,quasi-experimental,Europe,Italy,high income,sustained and selective attention,continuous,yes,no,no,no,,0.0468521285665818,0.110492112121934,Cohen's d,0.0468521285665818,Cohen's d_z (single-df F via partial eta2),d_converted,d_derived_from_partial_eta2),0.110492112121934,,d_converted
Amicone,2018,82.0,,,4,quasi-experimental,Europe,Italy,high income,working memory,continuous,yes,no,no,no,,0.517616488597777,0.117596012388536,Cohen's d,0.517616488597777,Cohen's d_z (single-df F via partial eta2),d_converted,d_derived_from_partial_eta2),0.117596012388536,,d_converted
Amicone,2018,82.0,,,5,quasi-experimental,Europe,Italy,high income,working memory,continuous,yes,no,no,no,,0.144829588676132,0.111009107782686,Cohen's d,0.144829588676132,Cohen's d_z (single-df F via partial eta2),d_converted,d_derived_from_partial_eta2),0.111009107782686,,d_converted
Amicone,2018,82.0,,,6,quasi-experimental,Europe,Italy,high income,working memory,continuous,yes,no,no,no,,0.724484678085388,0.124078998458311,Cohen's d,0.724484678085388,Cohen's d_z (single-df F via partial eta2),d_converted,d_derived_from_partial_eta2),0.124078998458311,,d_converted
Amicone,2018,82.0,,,7,quasi-experimental,Europe,Italy,high income,impulse control,continuous,yes,no,no,no,,0.229793120107588,0.111879859290811,Cohen's d,0.229793120107588,Cohen's d_z (single-df F via partial eta2),d_converted,d_derived_from_partial_eta2),0.111879859290811,,d_converted
Amicone,2018,82.0,,,8,quasi-experimental,Europe,Italy,high income,impulse control,continuous,yes,no,no,no,,0.0855398922768301,0.110633350536992,Cohen's d,0.0855398922768301,Cohen's d_z (single-df F via partial eta2),d_converted,d_derived_from_partial_eta2),0.110633350536992,,d_converted
Amicone,2018,82.0,,,9,quasi-experimental,Europe,Italy,high income,impulse control,continuous,yes,no,no,no,,0.213278702354569,0.111680287495646,Cohen's d,0.213278702354569,Cohen's d_z (single-df F via partial eta2),d_converted,d_derived_from_partial_eta2),0.111680287495646,,d_converted
Amicone,2018,82.0,,,10,quasi-experimental,Europe,Italy,high income,sustained and selective attention,continuous,yes,no,no,no,,0.4,0.163265306122449,Cohen's d,0.4,Cohen d,d_direct,d_direct,0.163265306122449,,d_direct
Amicone,2018,82.0,,,11,quasi-experimental,Europe,Italy,high income,sustained and selective attention,continuous,yes,no,no,no,,0.12,0.164383561643836,Cohen's d,0.12,Cohen d,d_direct,d_direct,0.164383561643836,,d_direct
Amicone,2018,82.0,,,12,quasi-experimental,Europe,Italy,high income,working memory,continuous,yes,no,no,no,,0.68,0.16504854368932,Cohen's d,0.68,Cohen d,d_direct,d_direct,0.16504854368932,,d_direct
Amicone,2018,82.0,,,13,quasi-experimental,Europe,Italy,high income,working memory,continuous,yes,no,no,no,,0.26,0.167741935483871,Cohen's d,0.26,Cohen d,d_direct,d_direct,0.167741935483871,,d_direct
Amicone,2018,82.0,,,14,quasi-experimental,Europe,Italy,high income,impulse control,continuous,yes,no,no,no,,0.03,0.157894736842105,Cohen's d,0.03,Cohen d,d_direct,d_direct,0.157894736842105,,d_direct
Amicone,2018,82.0,,,15,quasi-experimental,Europe,Italy,high income,impulse control,continuous,yes,no,no,no,,0.17,0.163461538461538,Cohen's d,0.17,Cohen d,d_direct,d_direct,0.163461538461538,,d_direct
Amicone,2018,82.0,,,16,quasi-experimental,Europe,Italy,high income,perceived restorativeness,continuous,no,yes,no,no,,0.610177902886307,0.120271975152729,Cohen's d,0.610177902886307,Cohen's d_z (single-df F via partial eta2),d_converted,d_derived_from_partial_eta2),0.120271975152729,,d_converted
Amicone,2018,35.0,18.0,17.0,17,quasi-experimental,Europe,Italy,high income,sustained and selective attention,continuous,yes,no,no,no,,0.063277,0.338284,Cohen's d,0.063277,Cohen's d (from partial eta²),d_converted,d_derived_from_partial_eta²),0.338284,,d_converted
Amicone,2018,35.0,18.0,17.0,18,quasi-experimental,Europe,Italy,high income,sustained and selective attention,continuous,yes,no,no,no,,0.345636,0.340714,Cohen's d,0.345636,Cohen's d (from partial eta²),d_converted,d_derived_from_partial_eta²),0.340714,,d_converted
Amicone,2018,35.0,18.0,17.0,19,quasi-experimental,Europe,Italy,high income,sustained and selective attention,continuous,yes,no,no,no,,1.102327,0.362957,Cohen's d,1.102327,Cohen's d (from partial eta²),d_converted,d_derived_from_partial_eta²),0.362957,,d_converted
Amicone,2018,35.0,18.0,17.0,22,quasi-experimental,Europe,Italy,high income,perceived restorativeness,continuous,no,yes,no,no,,1.142383,0.364723,Cohen's d,1.142383,Cohen's d (from partial eta²),d_converted,d_derived_from_partial_eta²),0.364723,,d_converted
Vujcic,2021,27.0,15.0,12.0,8,observational,Europe,Serbia,upper-middle income,cgi score variation,clinical rating,no,yes,no,yes,,1.349969,0.428659,Cohen's d,1.349969,"Cohen's d (between-group, from eta²)",d_converted,d_derived_from_eta²),0.428659,,d_converted
Goenjian,2005,32.0,32.0,,1,quasi-experimental,Asia,Armenia,lower-middle income,ptsd,continuous,no,yes,no,no,,-0.380282,0.183056,Cohen's d,-0.380282,"Cohen's d_z (within, from mean change/SD)",d_converted,d_derived_from_mean_change/SD),0.183056,MANUAL_REVIEW,d_converted
Goenjian,2005,30.0,30.0,,2,quasi-experimental,Asia,Armenia,lower-middle income,ptsd,continuous,no,yes,no,no,,-0.612069,0.19894,Cohen's d,-0.612069,"Cohen's d_z (within, from mean change/SD)",d_converted,d_derived_from_mean_change/SD),0.19894,MANUAL_REVIEW,d_converted
Goenjian,2005,32.0,32.0,,3,quasi-experimental,Asia,Armenia,lower-middle income,depression,continuous,no,yes,no,no,,0.209677,0.178709,Cohen's d,0.209677,"Cohen's d_z (within, from mean change/SD)",d_converted,d_derived_from_mean_change/SD),0.178709,EXCLUDE_UNTIL_VERIFIED,d_converted
Goenjian,2005,30.0,30.0,,4,quasi-experimental,Asia,Armenia,lower-middle income,depression,continuous,no,yes,no,no,,0.130435,0.183349,Cohen's d,0.130435,"Cohen's d_z (within, from mean change/SD)",d_converted,d_derived_from_mean_change/SD),0.183349,EXCLUDE_UNTIL_VERIFIED,d_converted
Hamblen,2009,88.0,88.0,,1,quasi-experimental,North America,USA,high income,postdisaster distress,continuous,no,yes,no,no,,1.4,0.15,Cohen's d,1.4,"Cohen's d_z (within, pre-post from ITT analysis)",d_converted,d_derived_from_ITT_analysis),0.15,OK,d_converted
Okuyama,2017,101.0,82.0,19.0,1,quasi-experimental,Asia,Japan,high income,depressive symptoms,continuous,no,yes,no,no,,0.659827,0.258809,Cohen's d,0.659827,"Cohen's d (between-group, combined intervention vs control, 2014)",d_direct,d_direct,0.258809,EXCLUDE_UNTIL_VERIFIED,d_direct
Okuyama,2017,101.0,82.0,19.0,2,quasi-experimental,Asia,Japan,high income,anxiety levels,continuous,no,yes,no,no,,0.459053,0.256651,Cohen's d,0.459053,"Cohen's d (between-group, combined intervention vs control, 2014)",d_direct,d_direct,0.256651,EXCLUDE_UNTIL_VERIFIED,d_direct
Okuyama,2017,101.0,82.0,19.0,3,quasi-experimental,Asia,Japan,high income,ptsd symptoms,continuous,no,yes,no,no,,0.686369,0.25915,Cohen's d,0.686369,"Cohen's d (between-group, combined intervention vs control, 2014)",d_direct,d_direct,0.25915,EXCLUDE_UNTIL_VERIFIED,d_direct
Salloum,2012,72.0,39.0,33.0,1,observational,North America,USA,high income,ptsd symptoms,continuous,no,yes,no,no,,0.231885,0.237313,Cohen's d,0.231885,"Cohen's d (between-group, CN vs C)",d_direct,d_direct,0.237313,EXCLUDE_UNTIL_VERIFIED,d_direct
Salloum,2012,72.0,39.0,33.0,2,observational,North America,USA,high income,depressive symptoms,continuous,no,yes,no,no,,0.482149,0.239913,Cohen's d,0.482149,"Cohen's d (between-group, CN vs C)",d_direct,d_direct,0.239913,EXCLUDE_UNTIL_VERIFIED,d_direct
Salloum,2012,72.0,39.0,33.0,3,observational,North America,USA,high income,traumatic grief,continuous,no,yes,no,no,,0.343817,0.238254,Cohen's d,0.343817,"Cohen's d (between-group, CN vs C)",d_direct,d_direct,0.238254,EXCLUDE_UNTIL_VERIFIED,d_direct
Salloum,2012,70.0,38.0,32.0,4,observational,North America,USA,high income,global distress,continuous,no,yes,no,no,,0.167817,0.240348,Cohen's d,0.167817,"Cohen's d (between-group, CN vs C)",d_direct,d_direct,0.240348,EXCLUDE_UNTIL_VERIFIED,d_direct
Salloum,2012,72.0,39.0,33.0,5,observational,North America,USA,high income,"perceived social support from family, friends and significant others",continuous,no,yes,no,no,,-0.066597,0.23659,Cohen's d,-0.066597,"Cohen's d (between-group, CN vs C)",d_direct,d_direct,0.23659,EXCLUDE_UNTIL_VERIFIED,d_direct
Salloum,2012,54.0,28.0,26.0,6,observational,North America,USA,high income,internalizing behavior problems,continuous,no,no,no,yes,,0.010231,0.272354,Cohen's d,0.010231,"Cohen's d (between-group, CN vs C)",d_direct,d_direct,0.272354,EXCLUDE_UNTIL_VERIFIED,d_direct
Salloum,2012,54.0,28.0,26.0,7,observational,North America,USA,high income,externalizing behavior problems,continuous,no,no,no,yes,,0.357971,0.274522,Cohen's d,0.357971,"Cohen's d (between-group, CN vs C)",d_direct,d_direct,0.274522,EXCLUDE_UNTIL_VERIFIED,d_direct
Telles,2010,22.0,11.0,11.0,1,observational,Asia,India,lower-middle income,lf (n.u.),binary,no,no,no,no,,0.266409,0.428289,Cohen's d,0.266409,"Cohen's d (between-group, yoga vs control post-test)",d_direct,d_direct,0.428289,OK,d_direct
Telles,2010,22.0,11.0,11.0,2,observational,Asia,India,lower-middle income,hf (n.u.),binary,no,no,no,no,,-0.266848,0.428295,Cohen's d,-0.266848,"Cohen's d (between-group, yoga vs control post-test)",d_direct,d_direct,0.428295,OK,d_direct
Telles,2010,22.0,11.0,11.0,3,observational,Asia,India,lower-middle income,lf/hf,binary,no,no,no,no,,0.291237,0.428656,Cohen's d,0.291237,"Cohen's d (between-group, yoga vs control post-test)",d_direct,d_direct,0.428656,OK,d_direct
Telles,2010,22.0,11.0,11.0,4,observational,Asia,India,lower-middle income,nn50,binary,no,no,no,no,,-0.025985,0.426419,Cohen's d,-0.025985,"Cohen's d (between-group, yoga vs control post-test)",d_direct,d_direct,0.426419,OK,d_direct
Telles,2010,22.0,11.0,11.0,5,observational,Asia,India,lower-middle income,pnn50,binary,no,no,no,no,,0.182989,0.427293,Cohen's d,0.182989,"Cohen's d (between-group, yoga vs control post-test)",d_direct,d_direct,0.427293,OK,d_direct
Telles,2010,22.0,11.0,11.0,6,observational,Asia,India,lower-middle income,tinn,binary,no,no,no,no,,0.90026,0.44748,Cohen's d,0.90026,"Cohen's d (between-group, yoga vs control post-test)",d_direct,d_direct,0.44748,OK,d_direct
Telles,2010,22.0,11.0,11.0,7,observational,Asia,India,lower-middle income,breath rate (cpm)*,binary,no,no,no,no,,-0.640203,0.437188,Cohen's d,-0.640203,"Cohen's d (between-group, yoga vs control post-test)",d_direct,d_direct,0.437188,OK,d_direct
Telles,2010,22.0,11.0,11.0,8,observational,Asia,India,lower-middle income,fear,binary,no,yes,no,no,,-0.795452,0.442943,Cohen's d,-0.795452,"Cohen's d (between-group, yoga vs control post-test)",d_direct,d_direct,0.442943,OK,d_direct
Telles,2010,22.0,11.0,11.0,9,observational,Asia,India,lower-middle income,anxiety,binary,no,yes,no,no,,-0.134195,0.426881,Cohen's d,-0.134195,"Cohen's d (between-group, yoga vs control post-test)",d_direct,d_direct,0.426881,OK,d_direct
Telles,2010,22.0,11.0,11.0,10,observational,Asia,India,lower-middle income,sadness,binary,no,yes,no,no,,0.279712,0.428481,Cohen's d,0.279712,"Cohen's d (between-group, yoga vs control post-test)",d_direct,d_direct,0.428481,OK,d_direct
Telles,2010,22.0,11.0,11.0,11,observational,Asia,India,lower-middle income,disturbed sleep,binary,no,no,no,no,,-0.268839,0.428323,Cohen's d,-0.268839,"Cohen's d (between-group, yoga vs control post-test)",d_direct,d_direct,0.428323,OK,d_direct
Wu,2011,846.0,417.0,429.0,1,observational,Asia,China,upper-middle income,ptsd symptoms,continuous,no,yes,no,no,,2.237705,0.087684,Cohen's d,2.237705,"Cohen's d (between-group, from mean reduction/SD)",d_converted,d_derived_from_mean_reduction/SD),0.087684,MANUAL_REVIEW,d_converted
Wu,2011,846.0,417.0,429.0,2,observational,Asia,China,upper-middle income,anxiety,continuous,no,yes,no,no,,1.115385,0.073921,Cohen's d,1.115385,"Cohen's d (between-group, from mean reduction/SD)",d_converted,d_derived_from_mean_reduction/SD),0.073921,MANUAL_REVIEW,d_converted
Wu,2011,846.0,417.0,429.0,3,observational,Asia,China,upper-middle income,depression,continuous,no,yes,no,no,,1.217391,0.074867,Cohen's d,1.217391,"Cohen's d (between-group, from mean reduction/SD)",d_converted,d_derived_from_mean_reduction/SD),0.074867,MANUAL_REVIEW,d_converted
Kotozaki,2014,30.0,15.0,15.0,1,observational,Asia,Japan,high income,quality of life,binary,no,yes,no,no,,-0.272462,0.366839,Cohen's d,-0.272462,"Cohen's d (between-group, Individual HT vs Control post-test)",d_direct,d_direct,0.366839,MANUAL_REVIEW,d_direct
Kotozaki,2014,30.0,15.0,15.0,2,observational,Asia,Japan,high income,depressive symptoms,binary,no,yes,no,no,,-0.881378,0.382466,Cohen's d,-0.881378,"Cohen's d (between-group, Individual HT vs Control post-test)",d_direct,d_direct,0.382466,MANUAL_REVIEW,d_direct
Kotozaki,2014,30.0,15.0,15.0,3,observational,Asia,Japan,high income,emotional intelligence,binary,no,yes,no,no,,0.955812,0.385434,Cohen's d,0.955812,"Cohen's d (between-group, Individual HT vs Control post-test)",d_direct,d_direct,0.385434,MANUAL_REVIEW,d_direct
Kotozaki,2014,30.0,15.0,15.0,4,observational,Asia,Japan,high income,mental health,binary,no,yes,no,no,,-0.232966,0.366385,Cohen's d,-0.232966,"Cohen's d (between-group, Individual HT vs Control post-test)",d_direct,d_direct,0.366385,MANUAL_REVIEW,d_direct
Kotozaki,2014,30.0,15.0,15.0,5,observational,Asia,Japan,high income,mood state,binary,no,yes,no,no,,-0.122965,0.365493,Cohen's d,-0.122965,"Cohen's d (between-group, Individual HT vs Control post-test)",d_direct,d_direct,0.365493,MANUAL_REVIEW,d_direct
Kotozaki,2014,30.0,15.0,15.0,6,observational,Asia,Japan,high income,salivary cortical levels,binary,no,no,no,no,,-0.171621,0.36582,Cohen's d,-0.171621,"Cohen's d (between-group, Individual HT vs Control post-test)",d_direct,d_direct,0.36582,MANUAL_REVIEW,d_direct
Kotozaki,2014,30.0,15.0,15.0,7,observational,Asia,Japan,high income,quality of life,binary,no,yes,no,no,,-0.442322,0.369586,Cohen's d,-0.442322,"Cohen's d (between-group, Group HT vs Control post-test)",d_direct,d_direct,0.369586,MANUAL_REVIEW,d_direct
Kotozaki,2014,30.0,15.0,15.0,8,observational,Asia,Japan,high income,depressive symptoms,binary,no,yes,no,no,,-1.575989,0.418006,Cohen's d,-1.575989,"Cohen's d (between-group, Group HT vs Control post-test)",d_direct,d_direct,0.418006,MANUAL_REVIEW,d_direct
Kotozaki,2014,30.0,15.0,15.0,9,observational,Asia,Japan,high income,emotional intelligence,binary,no,yes,no,no,,0.224071,0.366292,Cohen's d,0.224071,"Cohen's d (between-group, Group HT vs Control post-test)",d_direct,d_direct,0.366292,MANUAL_REVIEW,d_direct
Kotozaki,2014,30.0,15.0,15.0,10,observational,Asia,Japan,high income,mental health,binary,no,yes,no,no,,-0.486532,0.370511,Cohen's d,-0.486532,"Cohen's d (between-group, Group HT vs Control post-test)",d_direct,d_direct,0.370511,MANUAL_REVIEW,d_direct
Kotozaki,2014,30.0,15.0,15.0,11,observational,Asia,Japan,high income,mood state,binary,no,yes,no,no,,-0.503673,0.370893,Cohen's d,-0.503673,"Cohen's d (between-group, Group HT vs Control post-test)",d_direct,d_direct,0.370893,MANUAL_REVIEW,d_direct
Kotozaki,2014,30.0,15.0,15.0,12,observational,Asia,Japan,high income,salivary cortical levels,binary,no,no,no,no,,-2.372601,0.476607,Cohen's d,-2.372601,"Cohen's d (between-group, Group HT vs Control post-test)",d_direct,d_direct,0.476607,MANUAL_REVIEW,d_direct
Kotozaki,2013,20.0,20.0,,1,observational,Asia,Japan,high income,pstd symptoms,continuous,no,yes,no,no,,1.257143,0.299183,Cohen's d,1.257143,"Cohen's d_z (within, from change/SD)",d_converted,d_derived_from_change/SD),0.299183,OK,d_converted
Kotozaki,2013,20.0,20.0,,2,observational,Asia,Japan,high income,depression,continuous,no,yes,no,no,,0.898058,0.264882,Cohen's d,0.898058,"Cohen's d_z (within, from change/SD)",d_converted,d_derived_from_change/SD),0.264882,OK,d_converted
Kotozaki,2013,20.0,20.0,,3,observational,Asia,Japan,high income,psychological change experienced,continuous,no,yes,no,no,,9.423077,1.506605,Cohen's d,9.423077,"Cohen's d_z (within, from change/SD)",d_converted,d_derived_from_change/SD),1.506605,OK,d_converted
Kotozaki,2013,20.0,20.0,,4,observational,Asia,Japan,high income,physical qol,continuous,no,yes,no,no,,6.978261,1.12579,Cohen's d,6.978261,"Cohen's d_z (within, from change/SD)",d_converted,d_derived_from_change/SD),1.12579,OK,d_converted
Kotozaki,2013,20.0,20.0,,5,observational,Asia,Japan,high income,psychological qol,continuous,no,yes,no,no,,6.528302,1.056157,Cohen's d,6.528302,"Cohen's d_z (within, from change/SD)",d_converted,d_derived_from_change/SD),1.056157,OK,d_converted
Kotozaki,2013,20.0,20.0,,6,observational,Asia,Japan,high income,social qol,continuous,no,yes,no,no,,6.781818,1.095366,Cohen's d,6.781818,"Cohen's d_z (within, from change/SD)",d_converted,d_derived_from_change/SD),1.095366,OK,d_converted
Kotozaki,2013,20.0,20.0,,7,observational,Asia,Japan,high income,environmental qol,continuous,no,yes,no,no,,6.895833,1.11302,Cohen's d,6.895833,"Cohen's d_z (within, from change/SD)",d_converted,d_derived_from_change/SD),1.11302,OK,d_converted
Kotozaki,2013,20.0,20.0,,9,observational,Asia,Japan,high income,salivary cortisol level,continuous,no,no,no,no,,0.93865,0.268378,Cohen's d,0.93865,"Cohen's d_z (within, from change/SD)",d_converted,d_derived_from_change/SD),0.268378,OK,d_converted
Kotozaki,2013b,54.0,27.0,27.0,1,observational,Asia,Japan,high income,ptsd symptoms,continuous,no,yes,no,no,,-0.737298,0.281261,Cohen's d,-0.737298,"Cohen's d (between-group, post-test comparison)",d_direct,d_direct,0.281261,OK,d_direct
Kotozaki,2013b,54.0,27.0,27.0,2,observational,Asia,Japan,high income,quality of life,continuous,no,yes,no,no,,0.467195,0.275853,Cohen's d,0.467195,"Cohen's d (between-group, post-test comparison)",d_direct,d_direct,0.275853,OK,d_direct
Kotozaki,2013b,54.0,27.0,27.0,3,observational,Asia,Japan,high income,depression,continuous,no,yes,no,no,,-0.109455,0.272369,Cohen's d,-0.109455,"Cohen's d (between-group, post-test comparison)",d_direct,d_direct,0.272369,OK,d_direct
Kotozaki,2013b,54.0,27.0,27.0,4,observational,Asia,Japan,high income,general health,continuous,no,no,no,no,,-0.134619,0.272474,Cohen's d,-0.134619,"Cohen's d (between-group, post-test comparison)",d_direct,d_direct,0.272474,OK,d_direct
Kotozaki,2013b,54.0,27.0,27.0,5,observational,Asia,Japan,high income,positive affect,continuous,no,yes,no,no,,0.315039,0.273849,Cohen's d,0.315039,"Cohen's d (between-group, post-test comparison)",d_direct,d_direct,0.273849,OK,d_direct
Kotozaki,2013b,54.0,27.0,27.0,6,observational,Asia,Japan,high income,negative affect,continuous,no,yes,no,no,,-0.548102,0.277229,Cohen's d,-0.548102,"Cohen's d (between-group, post-test comparison)",d_direct,d_direct,0.277229,OK,d_direct
Kotozaki,2013b,54.0,27.0,27.0,7,observational,Asia,Japan,high income,psychological change experienced,continuous,no,yes,no,no,,0.3445,0.274177,Cohen's d,0.3445,"Cohen's d (between-group, post-test comparison)",d_direct,d_direct,0.274177,OK,d_direct
Kotozaki,2013b,54.0,27.0,27.0,8,observational,Asia,Japan,high income,salivary cortisol level,continuous,no,no,no,no,,-0.999527,0.28866,Cohen's d,-0.999527,"Cohen's d (between-group, post-test comparison)",d_direct,d_direct,0.28866,OK,d_direct
Makizako,2019,55.0,27.0,28.0,1,observational,Asia,Japan,high income,depression,continuous,no,yes,no,no,,0.071022,0.26981,Cohen's d,0.071022,"Cohen's d (between-group, Exercise vs Control post-test)",d_direct,d_direct,0.26981,MANUAL_REVIEW,d_direct
Makizako,2019,55.0,27.0,28.0,2,observational,Asia,Japan,high income,immediate logical memory,continuous,yes,no,no,no,,0.652893,0.276815,Cohen's d,0.652893,"Cohen's d (between-group, Exercise vs Control post-test)",d_direct,d_direct,0.276815,MANUAL_REVIEW,d_direct
Makizako,2019,55.0,27.0,28.0,3,observational,Asia,Japan,high income,delayed logical memory,continuous,yes,no,no,no,,0.506289,0.27401,Cohen's d,0.506289,"Cohen's d (between-group, Exercise vs Control post-test)",d_direct,d_direct,0.27401,MANUAL_REVIEW,d_direct
Makizako,2019,55.0,27.0,28.0,4,observational,Asia,Japan,high income,immedate word list memory,continuous,yes,no,no,no,,-0.181818,0.270281,Cohen's d,-0.181818,"Cohen's d (between-group, Exercise vs Control post-test)",d_direct,d_direct,0.270281,MANUAL_REVIEW,d_direct
Makizako,2019,55.0,27.0,28.0,5,observational,Asia,Japan,high income,delayed word list memory,continuous,yes,no,no,no,,0.185595,0.270304,Cohen's d,0.185595,"Cohen's d (between-group, Exercise vs Control post-test)",d_direct,d_direct,0.270304,MANUAL_REVIEW,d_direct
Makizako,2019,54.0,26.0,28.0,6,observational,Asia,Japan,high income,depression,continuous,no,yes,no,no,,-0.137604,0.272674,Cohen's d,-0.137604,"Cohen's d (between-group, Horticulture vs Control post-test)",d_direct,d_direct,0.272674,MANUAL_REVIEW,d_direct
